detection_id,species,source_image,pixel_x,pixel_y,longitude,latitude,within_boundary_buffer,georeference_method,georeference_rmse_deg,control_point_count,notes
lion_digitized_001,lion,orc_detection_1.webp,1262.64,86.59,16.766286,-18.517723,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_002,lion,orc_detection_1.webp,1387.54,93.09,17.021709,-18.540852,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_003,lion,orc_detection_1.webp,1313.44,128.4,16.867383,-18.624179,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_004,lion,orc_detection_1.webp,1360.49,127.23,16.96371,-18.624164,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_005,lion,orc_detection_1.webp,1395.62,147.14,17.034541,-18.675104,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_006,lion,orc_detection_1.webp,1355.74,177.26,16.951958,-18.743398,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_007,lion,orc_detection_1.webp,1432.66,180.43,17.109053,-18.757103,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_008,lion,orc_detection_1.webp,416.8,217.17,15.059902,-18.884387,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_009,lion,orc_detection_1.webp,235.68,225.52,14.700967,-18.939449,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_010,lion,orc_detection_1.webp,247.39,246.17,14.727064,-18.979247,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_011,lion,orc_detection_1.webp,469.63,264.26,15.170894,-18.972662,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_012,lion,orc_detection_1.webp,371.39,291.37,14.979955,-19.043343,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_013,lion,orc_detection_1.webp,329.4,295.57,14.897499,-19.059512,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_014,lion,orc_detection_1.webp,1311.77,296.73,16.865695,-19.00048,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_015,lion,orc_detection_1.webp,590.99,300.25,15.417745,-19.026305,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_016,lion,orc_detection_1.webp,642.96,307.86,15.522459,-19.034894,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_017,lion,orc_detection_1.webp,136.69,305.69,14.518915,-19.121815,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_018,lion,orc_detection_1.webp,1010.76,329.08,16.26158,-19.054245,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_019,lion,orc_detection_1.webp,1182.27,333.35,16.607364,-19.065452,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_020,lion,orc_detection_1.webp,121.28,384.26,14.507208,-19.265174,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_021,lion,orc_detection_1.webp,281.44,389.55,14.823125,-19.238399,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_022,lion,orc_detection_1.webp,171.66,391.62,14.607967,-19.265518,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_023,lion,orc_detection_1.webp,972.15,411.72,16.197852,-19.204215,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_024,lion,orc_detection_1.webp,840.42,417.29,15.936204,-19.216982,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_025,lion,orc_detection_1.webp,426.65,421.26,15.117305,-19.264906,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_026,lion,orc_detection_1.webp,467.37,429.6,15.199808,-19.272232,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_027,lion,orc_detection_1.webp,376.53,431.72,15.021419,-19.289869,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_028,lion,orc_detection_1.webp,554.93,439.81,15.375348,-19.277001,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_029,lion,orc_detection_1.webp,1082.93,463.63,16.430304,-19.291052,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_030,lion,orc_detection_1.webp,69.52,490.89,14.439221,-19.442597,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
lion_digitized_031,lion,orc_detection_1.webp,93.97,512.25,14.49452,-19.466258,True,quadratic_gcp_warp_from_public_map_features,0.09834,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
