detection_id,species,source_image,pixel_x,pixel_y,longitude,latitude,within_boundary_buffer,georeference_method,georeference_rmse_deg,control_point_count,notes
rhino_digitized_001,rhino,rhino_pages-14.png,940.79,134.21,17.063318,-18.651656,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_002,rhino,rhino_pages-14.png,899.0,146.64,16.88566,-18.673468,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_003,rhino,rhino_pages-14.png,941.0,151.12,17.052763,-18.711443,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_004,rhino,rhino_pages-14.png,945.5,155.5,17.068512,-18.728971,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_005,rhino,rhino_pages-14.png,848.5,158.0,16.678439,-18.69026,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_006,rhino,rhino_pages-14.png,878.0,160.0,16.792105,-18.710632,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_007,rhino,rhino_pages-14.png,283.5,161.5,14.960199,-18.627647,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_008,rhino,rhino_pages-14.png,261.7,162.3,14.911256,-18.635167,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_009,rhino,rhino_pages-14.png,287.0,169.0,14.953191,-18.661209,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_010,rhino,rhino_pages-14.png,269.5,171.0,14.91066,-18.673509,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_011,rhino,rhino_pages-14.png,385.5,173.5,15.179127,-18.668658,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_012,rhino,rhino_pages-14.png,827.3,173.7,16.583706,-18.73723,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_013,rhino,rhino_pages-14.png,878.0,180.0,16.777111,-18.7795,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_014,rhino,rhino_pages-14.png,885.0,181.0,16.804426,-18.785871,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_015,rhino,rhino_pages-14.png,898.0,184.17,16.854724,-18.802085,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_016,rhino,rhino_pages-14.png,280.5,185.0,14.907495,-18.733992,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_017,rhino,rhino_pages-14.png,913.0,187.0,16.914141,-18.818068,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_018,rhino,rhino_pages-14.png,247.17,188.94,14.8265,-18.759178,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_019,rhino,rhino_pages-14.png,846.5,198.0,16.638806,-18.827082,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_020,rhino,rhino_pages-14.png,865.0,198.0,16.712156,-18.833949,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_021,rhino,rhino_pages-14.png,843.0,199.0,16.624279,-18.829123,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_022,rhino,rhino_pages-14.png,313.5,202.0,14.951568,-18.800688,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_023,rhino,rhino_pages-14.png,201.0,204.0,14.699021,-18.839368,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_024,rhino,rhino_pages-14.png,193.5,210.0,14.671325,-18.868353,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_025,rhino,rhino_pages-14.png,854.5,210.0,16.661648,-18.868868,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_026,rhino,rhino_pages-14.png,200.0,211.0,14.682573,-18.870502,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_027,rhino,rhino_pages-14.png,193.5,214.0,14.663078,-18.885873,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_028,rhino,rhino_pages-14.png,288.27,216.6,14.865243,-18.86794,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_029,rhino,rhino_pages-14.png,915.5,224.0,16.902154,-18.93452,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_030,rhino,rhino_pages-14.png,208.5,231.0,14.659907,-18.953378,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_031,rhino,rhino_pages-14.png,200.0,233.0,14.637946,-18.964997,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_032,rhino,rhino_pages-14.png,893.0,233.64,16.802741,-18.954874,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_033,rhino,rhino_pages-14.png,865.5,236.0,16.688277,-18.952843,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_034,rhino,rhino_pages-14.png,923.5,236.0,16.929363,-18.972734,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_035,rhino,rhino_pages-14.png,198.5,237.0,14.626773,-18.982383,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_036,rhino,rhino_pages-14.png,208.0,237.0,14.646917,-18.978723,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_037,rhino,rhino_pages-14.png,189.6,239.0,14.604109,-18.994293,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_038,rhino,rhino_pages-14.png,835.0,239.64,16.562928,-18.95481,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_039,rhino,rhino_pages-14.png,909.23,240.23,16.866806,-18.979742,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
