osm_id,name,fclass,lon,lat
1493335589,Arendsnes (man-made water point),viewpoint,15.4098523,-18.977396
260103750,Aroe (man-made water point),viewpoint,16.9963703,-18.7214166
2332806278,Aus (natural waterhole),viewpoint,16.192573,-19.2051862
260104430,Batia (natural waterhole),viewpoint,16.7092704,-18.9501464
1493335578,Bitterwater (man-made water point),viewpoint,15.1599273,-18.9777019
260104906,Charitsaub (natural waterhole),viewpoint,16.2653605,-19.0431219
259146263,Chudob (natural waterhole),viewpoint,16.9248841,-18.8582499
2244873751,Dolimietpuunt Waterhole,viewpoint,14.4730721,-19.0016009
2332806279,Duineveld (man-made water point),viewpoint,14.6108245,-18.9508697
1493335591,Duiwelsvuur (man-made water point),viewpoint,15.242638,-18.9738225
1476910513,Gaseb Waterhole,viewpoint,15.9835463,-19.2039837
260104393,Gemsbokvlakte (man-made water point),viewpoint,16.0582995,-19.2134162
6240569526,Goas (natural waterhole),viewpoint,16.55689,-18.9916973
259161959,Goas (natural waterhole),viewpoint,16.5583639,-18.9889926
259483542,Groot Okevi (natural waterhole),viewpoint,16.8984559,-18.7806548
260104682,Helio (man-made water point),viewpoint,16.4888481,-19.0380157
2332806282,Homob (natural waterhole),viewpoint,16.1937592,-19.0522485
2758183944,Jakkalswater Waterhole,viewpoint,14.6563584,-19.1367108
259159316,Kalkheuwel (man-made water point),viewpoint,16.8269779,-18.8966138
1476910541,Kapupuhedi (natural waterhole),viewpoint,16.0703422,-19.1239141
259483477,Klein Okevi (natural waterhole),viewpoint,16.9078782,-18.7915099
2332806283,Klippan (man-made water point),viewpoint,14.4334496,-19.0731378
2332806285,Luiperdskop (man-made water point),viewpoint,14.3783893,-19.1074751
2332806276,Luiperdskop Seasonal Waterhole,viewpoint,14.3919597,-19.1295486
2758197013,Miernes (man made waterhole),viewpoint,14.4921856,-19.2067569
1452555283,Moringa (man made water point),attraction,16.4703298,-19.0401115
4577925948,Natco Waterhole,viewpoint,15.7441213,-19.0678847
2757884535,Nebrowni Waterhole (man-made),viewpoint,15.9954995,-19.1628967
259159265,Ngobib (natural waterhole),viewpoint,16.7701363,-18.8967518
2332806287,Nomab (man-made water point),viewpoint,14.7641661,-18.9648461
259162015,Noniams (natural waterhole),viewpoint,16.5653127,-19.0090012
259162314,Nuamses (natural waterhole),viewpoint,16.4849589,-18.9658243
544244953,Okaukuejo Waterhole,attraction,15.9162364,-19.1807423
2758173915,Okavao Waterhole,viewpoint,14.758607,-19.06
260103950,Okerfontein (natural waterhole),viewpoint,16.7211456,-18.8540042
260105415,Okondeka (natural waterhole),attraction,15.8667657,-18.9942532
259190037,Olifantsbad (man-made water point),viewpoint,16.1309456,-19.238878
289526593,Ombika Waterhole,attraction,15.9408681,-19.3152525
260104918,Ondongab (natural waterhole),viewpoint,16.1105639,-19.1043629
2332817597,Rateldraf (man-made water point),viewpoint,14.4863342,-19.0861388
2332817602,Renosterflei (man-made water point),viewpoint,14.5308003,-19.1742644
11356715376,Rietfontein (natural waterhole),attraction,16.3412143,-19.0366841
260104905,Salvadora (natural waterhole),viewpoint,16.2696745,-19.034635
260104615,Springbokfontein (natural waterhole),viewpoint,16.6956119,-18.9411897
260104863,Sueda (natural waterhole),viewpoint,16.2528785,-19.0428965
3757662723,Teespoet waterhole,viewpoint,15.0612363,-18.9798301
1493335586,Tobieroen (man-made water point),viewpoint,14.957308,-18.9721842
8612424517,Waterhole,viewpoint,15.8167899,-19.0693017
260105332,Wolfsnes (natural waterhole),attraction,15.8873651,-19.0487008
2332810619,,water_well,14.780121,-19.1522094
2332975756,,water_well,14.5257077,-19.3350734
2332976057,,water_well,14.4900798,-19.3652823
2351160175,,water_well,14.6568843,-19.1371505
5044668283,,water_well,16.129636,-19.2395387
