target_label,pixel_x,pixel_y,longitude,latitude,notes
boundary_west_tip,60,322,14.353169,-19.061983,westmost boundary tip
galton_gate,98,289,14.488913,-19.320987,west gate kink on southern edge
boundary_northwest_shoulder,182,138,14.568257,-18.646278,upper west shoulder on boundary
boundary_north_notch,738,66,15.6638,-18.499733,northern boundary notch west end
boundary_northeast_edge,1410,77,17.037872,-18.500832,northeast top boundary
boundary_east_edge,1418,398,17.115925,-19.205284,eastern outer boundary
boundary_south_apex,1208,548,16.70156,-19.486957,southernmost southeast apex
boundary_southwest_run,548,408,15.317273,-19.191558,south boundary run west of the pan
boundary_pan_southwest,797,442,15.850533,-19.283916,south boundary near the pan's southwest approach
pan_west,790,199,15.840451,-18.893647,western extreme of the pan outline
pan_north,1242,78,16.806064,-18.500841,northern extreme of the pan outline
pan_east,1368,221,16.91843,-18.799968,eastern extreme of the pan outline
pan_south,865,448,16.004827,-19.142269,southern extreme of the pan outline
